id,echogram_name,fishDate,strtFishTime,stpFishTime,strtFishLat,stpFishLat,strtFishLong,stpFishLong,strtFishDepth,stpFishDepth,bottomDepth,id,
56,echogram_20020702_055438,20020702,64700,70900,59.1652,59.1602,-1.4743,-1.5225,89,89,105,0252,
57,echogram_20020702_085046,20020702,101000,104400,59.1712,59.167,-0.774,-0.8613,115,123,132,0253,
58,echogram_20020702_115249,20020702,124000,132600,59.1665,59.1707,-0.4073,-0.5402,15,15,142,0254,
59,echogram_20020702_150522,20020702,160500,162000,59.1647,59.1663,0.0287,-0.013,126,130,140,0255,
60,echogram_20020702_203659,20020702,212900,215300,58.4443,58.4343,-5.5063,-5.5438,90,82.5,105,0001,
61,echogram_20020703_032113,20020703,42500,50000,59.4133,59.4133,1.4867,1.5665,50,50,105,0256,
62,echogram_20020703_092427,20020703,104500,111000,59.4252,59.4245,-0.0458,-0.0172,119,122,131,0257,
63,echogram_20020703_121222,20020703,131000,132700,59.4122,59.4108,-0.3513,-0.3078,119,123,131,0258,
64,echogram_20020703_153328,20020703,164500,170200,59.4143,59.4118,-1.1655,-1.1168,110,110,120,0259,
65,echogram_20020703_174724,20020703,182000,184400,57.2038,57.1913,-6.821,-6.8597,32,40,100,0002,
66,echogram_20020703_195153,20020703,205200,210900,59.4167,59.4142,-2.1963,-2.1522,62,66,76,0260,
67,echogram_20020704_055755,20020704,63100,65200,56.4773,56.5007,-6.6025,-6.5838,15,15,45,0003,
68,echogram_20020704_072641,20020704,81800,84400,59.6565,59.655,-0.6085,-0.6853,123,116,136,0261,
69,echogram_20020704_095946,20020704,105000,111500,56.0682,56.0668,-7.0412,-7.0002,77,77,87,0004,
70,echogram_20020704_131844,20020704,142500,150000,59.6653,59.6655,1.013,0.9177,106,106,119,0262,
71,echogram_20020704_154205,20020704,174000,181000,59.6667,59.6658,1.15,1.0947,80,81,114,0263,
72,echogram_20020704_201954,20020704,195700,202800,56.3168,56.3145,-8.6768,-8.7327,119,119,131,0005,
73,echogram_20020705_052434,20020705,64000,72500,59.9087,59.906,0.226,0.3592,117,102,133,0264,
74,echogram_20020705_091927,20020705,102200,110500,59.9165,59.9158,-0.1005,0.0178,124,135,139,0265,
75,echogram_20020705_142128,20020705,153000,153300,59.9172,59.917,-1.202,-1.1898,77,84,90,0266,
76,echogram_20020705_162504,20020705,165500,173200,56.6545,56.6545,-8.5762,-8.6417,118,118,120,0006,
77,echogram_20020705_175658,20020705,190700,200000,60.0492,60.0495,-0.4997,-0.6543,114,103,135,0267,
78,echogram_20020705_201213,20020705,212700,215500,60.048,60.0482,-0.4197,-0.5002,120,110,135,0268,
79,echogram_20020706_025312,20020706,35500,43000,60.0465,60.0522,0.0733,-0.0242,145,128,162,0269,
80,echogram_20020706_091307,20020706,104000,111500,60.3452,60.2995,-0.537,-0.6178,83,95,135,0270,
81,echogram_20020706_170942,20020706,174100,182300,56.7813,56.7818,-8.1748,-8.1003,112,112,120,0007,
82,echogram_20020706_173142,20020706,184500,190000,60.1638,60.1637,0.8012,0.7595,140,140,153,0271,
83,echogram_20020706_202249,20020706,195100,203000,56.7827,56.7797,-8.7463,-8.6792,106,106,120,0008,
84,echogram_20020707_043833,20020707,51100,55900,56.9103,56.907,-8.7718,-8.8495,110,110,120,0009,
85,echogram_20020707_062311,20020707,72200,73200,60.4082,60.4068,0.613,0.6447,116,123,127,0272,
86,echogram_20020707_072842,20020707,81700,90500,56.9097,56.9105,-8.3435,-8.4247,106,106,130,0010,
87,echogram_20020707_121027,20020707,131200,133000,60.5163,60.4958,-0.8622,-0.8267,105,90,119,0273,
88,echogram_20020707_142131,20020707,151500,155400,57.0332,57.0332,-8.3838,-8.3085,122,122,130,0011,
89,echogram_20020707_143254,20020707,153500,153600,60.5527,60.5643,-0.5528,-0.565,115,122,135,0274,
90,echogram_20020707_192058,20020707,195800,203500,57.1435,57.1418,-9.2485,-9.2223,30,23,216,0012,
91,echogram_20020707_210256,20020707,213600,221700,57.1553,57.1562,-9.0632,-9.1285,126,135,150,0013,
92,echogram_20020708_180630,20020708,184000,192100,57.5638,57.5702,-8.9073,-8.9718,125,125,150,0015,
93,echogram_20020708_204831,20020708,212300,215700,57.565,57.5627,-8.4553,-8.5157,131,131,157,0016,
94,echogram_20020709_102320,20020709,105200,111900,57.8155,57.816,-8.5315,-8.4818,42,53,53,0017,
95,echogram_20020709_111151,20020709,120700,123500,60.6608,60.667,-0.4655,-0.5435,115,106,138,0275,
96,echogram_20020709_114015,20020709,121100,124100,57.8038,57.8147,-8.3315,-8.3798,103,103,119,0018,
97,echogram_20020709_144615,20020709,154400,155300,60.6675,60.6675,0.2595,0.2353,128,128,143,0276,
98,echogram_20020709_174230,20020709,183000,183700,60.672,60.6735,0.9328,0.9122,138,140,155,0277,
99,echogram_20020709_200033,20020709,203800,212200,58.0322,58.0318,-8.307,-8.3798,110,128,137,0019,
100,echogram_20020710_043310,20020710,54300,62300,60.9197,60.9132,0.9038,1.0142,132,127,146,0278,
101,echogram_20020710_053737,20020710,62300,71500,58.0328,58.0413,-7.2902,-7.38,46,87,97,0020,
102,echogram_20020710_092737,20020710,103000,105400,60.9122,60.9083,-0.216,-0.1523,149,149,165,0279,
103,echogram_20020710_123210,20020710,125600,131600,58.156,58.1573,-8.2083,-8.1705,101,110,130,0021,
104,echogram_20020710_155644,20020710,164800,171700,60.8032,60.8023,0.2645,0.1858,131,117,145,0280,
105,echogram_20020710_183059,20020710,192000,194400,58.2818,58.2848,-8.2785,-8.3212,113,132,137,0022,
106,echogram_20020711_040331,20020711,51200,55400,61.0518,61.0483,-0.6547,-0.5302,144,131,160,0281,
107,echogram_20020711_043024,20020711,83300,90200,58.2813,58.2878,-7.21,-7.1513,77,111,110,0023,
108,echogram_20020711_084242,20020711,94100,95300,61.163,61.166,-0.1753,-0.2093,139,139,154,0282,
109,echogram_20020711_132102,20020711,143000,143600,61.1657,61.1592,1.012,1.0142,145,145,158,0283,
110,echogram_20020711_164237,20020711,171400,174000,58.5643,58.564,-7.6833,-7.7283,127,127,137,0024,
111,echogram_20020712_082233,20020712,91500,93800,61.4188,61.419,-0.0695,0.0043,165,165,180,0284,
112,echogram_20020712_180628,20020712,190900,194200,61.1632,61.1688,-0.884,-0.9748,142,142,156,0285,
113,echogram_20020713_073638,20020713,84500,91400,60.9162,60.9213,-1.4055,-1.4845,97,97,114,0286,
114,echogram_20020713_105115,20020713,115000,120200,60.8692,60.8853,-0.9773,-0.9932,92,98,105,0287,
115,echogram_20020713_200755,20020713,204100,210400,58.7825,58.783,-5.7707,-5.7268,92,100,108,0025,
116,echogram_20020714_015355,20020714,30400,33200,60.6682,60.6745,-1.605,-1.6847,82,82,106,0288,
117,echogram_20020714_060421,20020714,64000,72000,58.7792,58.7832,-7.3845,-7.3007,90,90,100,0026,
118,echogram_20020714_093043,20020714,104000,104300,60.5538,60.5538,-2.7057,-2.714,123,123,130,0289,
119,echogram_20020714_112014,20020714,115400,123000,58.9087,58.9095,-6.8278,-6.8887,134,150,160,0027,
120,echogram_20020714_132948,20020714,135500,141500,58.9082,58.908,-6.5623,-6.6027,110,95,120,0028,
121,echogram_20020714_170739,20020714,180200,181300,60.4173,60.417,-2.0978,-2.1277,101,105,114,0290,
122,echogram_20020714_191334,20020714,200700,202200,60.4153,60.4153,-1.749,-1.7907,61,83,88,0291,
123,echogram_20020715_042428,20020715,45700,52800,58.8153,58.8152,-3.764,-3.8328,81,86,92,0029,
124,echogram_20020715_064315,20020715,71800,80600,58.8793,58.8842,-3.5005,-3.5052,15,11,73,0030,
125,echogram_20020715_072005,20020715,83700,84600,60.301,60.3037,-3.6967,-3.6665,134,129,145,0292,
126,echogram_20020715_193225,20020715,200700,204400,59.0285,59.0308,-6.8362,-6.7625,151,152,157,0031,
127,echogram_20020716_045626,20020716,54600,62300,59.1577,59.1615,-6.692,-6.7607,120,130,135,0032,
128,echogram_20020716_080843,20020716,85200,92600,59.1575,59.1613,-6.1873,-6.1217,47,78,87,0033,
129,echogram_20020716_133103,20020716,140700,151400,59.2815,59.2357,-4.9582,-4.9973,99,107,115,0034,
130,echogram_20020716_184941,20020716,192300,194800,59.282,59.2833,-3.8525,-3.9015,123,123,134,0035,
131,echogram_20020717_041815,20020717,51600,54500,59.4058,59.4072,-3.2497,-3.3048,57,57,66,0036,
132,echogram_20020717_070359,20020717,73900,81600,59.4065,59.4065,-3.7613,-3.6993,136,140,140,0037,
133,echogram_20020717_200232,20020717,202500,215400,59.5652,59.5632,-5.9747,-5.9423,115,124,125,0038,
134,echogram_20020718_052917,20020718,55800,61900,59.5662,59.5667,-5.1555,-5.1945,119,124,135,0039,
135,echogram_20020718_075242,20020718,82400,85300,59.5322,59.5317,-4.7015,-4.7623,100,111,121,0040,
136,echogram_20020718_110550,20020718,114200,120700,59.5327,59.5333,-3.9773,-4.0272,115,115,125,0041,
137,echogram_20020719_091221,20020719,94300,101900,59.6558,59.6562,-4.6682,-4.6067,80,89,100,0044,
138,echogram_20020719_155550,20020719,162300,164900,59.782,59.7805,-3.82,-3.8677,123,123,134,0045,
139,echogram_20020720_043352,20020720,51200,53200,59.9078,59.9072,-2.3362,-2.2918,89,89,99,0047,
140,echogram_20020720_105138,20020720,113200,125100,59.998,60.0068,-4.0085,-4.0315,62,120,126,0048,
141,echogram_20020720_175525,20020720,184500,191400,60.0638,60.0642,-2.242,-2.2893,80,80,95,0049,
142,echogram_20030628_112535,20030628,133200,141800,59.0552,59.0504,-1.9525,-2.0805,20,21,76,0267,
143,echogram_20030629_020151,20030629,31900,35100,59.0525,59.0502,-0.1855,-0.0867,110,110,132,0269,
144,echogram_20030629_021004,20030629,50600,50600,59.0518,59.0503,-0.0803,-0.0947,110,110,144,0270,
145,echogram_20030629_021248,20030629,63000,64500,59.0798,59.0978,-0.1337,-0.1383,128,128,142,0271,
146,echogram_20030629_173622,20030629,185100,192700,59.3032,59.2987,0.4928,0.5768,117,117,132,0272,
147,echogram_20030629_173906,20030629,204000,205500,59.2993,59.2993,0.5123,0.4822,116,117,130,0273,
148,echogram_20030630_040446,20030630,52200,52800,59.3008,59.3008,-0.5783,-0.585,123,109,126,0274,
149,echogram_20030630_081124,20030630,90300,93300,59.2975,59.2978,-1.5108,-1.4313,81,89,99,0275,
150,echogram_20030630_082221,20030630,111300,112800,59.2957,59.2982,-1.509,-1.5412,81,82,120,0276,
151,echogram_20030701_034505,20030701,43900,45400,59.5512,59.552,-1.1853,-1.222,101,93,105,0277,
152,echogram_20030701_035034,20030701,60400,61900,59.553,59.5505,-1.26,-1.2287,89,94,115,0278,
153,echogram_20030701_092442,20030701,102300,105500,59.5505,59.5502,-0.0652,-0.1528,123,121,138,0279,
154,echogram_20030701_092725,20030701,121300,123300,59.5479,59.5485,-0.1354,-0.093,123,124,140,0280,
155,echogram_20030702_042506,20030702,52800,60800,59.8078,59.7992,-0.1035,-0.0058,116,117,130,0281,
156,echogram_20030702_083140,20030702,92200,94700,59.8078,59.8009,-0.8297,-0.767,112,106,127,0282,
157,echogram_20030702_083425,20030702,105700,111200,59.7978,59.7977,-0.7807,-0.8123,111,112,127,0283,
158,echogram_20030702_141350,20030702,145900,150800,59.915,59.9153,-0.6846,-0.7141,109,108,125,0284,
159,echogram_20030703_084200,20030703,93700,101700,58.7975,58.794,0.0102,0.1092,126,121,140,0285,
160,echogram_20030703_085012,20030703,120200,121700,58.8,58.7968,0.1593,0.1278,116,123,135,0286,
161,echogram_20030703_145937,20030703,155700,162200,58.7968,58.796,-0.87,-0.8075,109,111,125,0287,
162,echogram_20030704_111911,20030704,121100,124100,58.0561,58.0518,-0.2653,-0.3333,110,107,125,0288,
163,echogram_20030705_052512,20030705,60600,62600,58.3172,58.3157,0.3022,0.348,129,129,145,0289,
164,echogram_20030705_052756,20030705,75400,80900,58.3087,58.3118,0.3085,0.28,129,129,145,0290,
165,echogram_20030706_080405,20030706,100000,104800,58.5492,58.5517,-0.3668,-0.2597,95,113,115,0291,
166,echogram_20030706_102105,20030706,115600,121100,58.5562,58.5548,-0.2705,-0.3007,109,99,120,0292,
167,echogram_20030706_150155,20030706,155100,160600,58.5523,58.5534,0.6903,0.659,135,137,150,0293,
168,echogram_20030707_095722,20030707,104400,110400,60.0518,60.0516,-0.8282,-0.7775,98,94,115,0294,
169,echogram_20030707_184250,20030707,194400,195200,60.1828,60.1827,0.5597,0.5417,129,113,145,0295,
170,echogram_20030707_192107,20030707,204800,210500,60.1817,60.1815,0.583,0.6163,128,136,130,0296,
171,echogram_20030708_032450,20030708,42600,44600,60.3968,60.394,0.7478,0.7987,127,138,146,0297,
172,echogram_20030708_130235,20030708,135000,143200,60.3003,60.2988,0.0922,0.0092,140,105,155,0298,
173,echogram_20030709_052345,20030709,61500,64000,60.5472,60.5495,0.123,0.1868,118,113,125,0299,
174,echogram_20030709_061259,20030709,80000,81500,60.5473,60.5502,0.1752,0.1403,118,121,127,0300,
175,echogram_20030709_114733,20030709,124000,125000,60.6838,60.6843,-0.6935,-0.722,82,81,98,0301,
176,echogram_20030709_132441,20030709,141600,144300,60.6832,60.6788,-0.5357,-0.6022,108,104,125,0302,
177,echogram_20030709_142223,20030709,161000,161000,60.6823,60.6818,-0.5905,-0.5587,106,115,125,0303,
178,echogram_20030711_115610,20030711,124700,132200,60.7993,60.8007,-0.542,-0.6297,94,90,111,0304,
179,echogram_20030712_112228,20030712,120700,123900,61.2997,61.3035,-0.1642,-0.2498,151,153,167,0305,
180,echogram_20030712_120046,20030712,134400,135900,61.3045,61.3047,-0.2162,-0.182,152,150,167,0306,
181,echogram_20030712_163430,20030712,173800,175800,61.3008,61.3003,0.8275,0.7703,144,146,162,0307,
182,echogram_20030712_181341,20030712,191400,192900,61.3003,61.3005,0.703,0.738,146,147,162,0308,
183,echogram_20030713_044247,20030713,53500,61000,61.5492,61.551,1.191,1.2858,168,166,184,0309,
184,echogram_20030713_082620,20030713,91900,93200,61.5482,61.4465,0.548,0.4882,179,180,195,0310,
185,echogram_20030713_141404,20030713,150900,152400,61.548,61.5503,-0.7813,-0.8162,184,184,202,0311,
186,echogram_20030713_144413,20030713,170100,173700,61.547,61.5493,-0.7907,-0.6958,182,180,202,0312,
187,echogram_20030714_074005,20030714,82100,84100,60.8137,60.8037,-2.0605,-2.1083,103,111,122,0313,
188,echogram_20030715_045107,20030715,55200,62200,60.434,60.4338,-2.0377,-1.9648,98,102,109,0314,
189,echogram_20030715_062653,20030715,73000,74500,60.4358,60.4362,-1.9128,-1.9457,104,105,120,0315,
190,echogram_20030715_132840,20030715,152800,154300,60.299,60.2987,-3.572,-3.605,111,122,130,0316,
191,echogram_20030715_152049,20030715,172800,175800,60.2992,60.2992,-3.6525,-3.5818,128,117,130,0317,
192,echogram_20030716_053741,20030716,65700,73700,60.1888,60.185,-2.3452,-2.2527,102,100,120,0318,
193,echogram_20030716_072143,20030716,83800,85200,60.1832,60.1827,-2.2367,-2.2698,100,101,120,0319,
194,echogram_20030716_142148,20030716,150300,152000,60.0478,60.05,-3.5085,-3.5567,122,121,135,0320,
195,echogram_20030716_151108,20030716,165900,171400,60.0518,60.0503,-3.5858,-3.5547,122,121,135,0321,
196,echogram_20030717_024711,20030717,40000,42000,60.0502,60.0507,-1.5428,-1.595,112,101,130,0322,
197,echogram_20030717_075113,20030717,83300,84500,59.8018,59.8003,-1.6915,-1.6602,99,98,115,0323,
198,echogram_20030717_171814,20030717,192000,194000,59.9167,59.916,-3.6492,-3.689,130,118,146,0324,
199,echogram_20030717_192650,20030717,203500,205000,59.9172,59.9168,-3.725,-3.6915,125,120,145,0325,
200,echogram_20030718_051025,20030718,60000,61500,59.6808,59.6792,-3.4297,-3.3933,129,140,145,0326,
201,echogram_20030718_090542,20030718,95300,102300,59.5507,59.55,-3.864,-3.9365,148,141,164,0327,
202,echogram_20030718_095218,20030718,115200,120700,59.547,59.5475,-3.92,-3.8875,149,150,150,0328,
